DATE,CASH_RATE
2022-01,0.1
2022-02,0.1
2022-03,0.1
2022-04,0.1
2022-05,0.35
2022-06,0.85
2022-07,1.35
2022-08,1.85
2022-09,2.35
2022-10,2.6
2022-11,2.85
2022-12,3.1
2023-01,3.1
2023-02,3.35
2023-03,3.6
2023-04,3.6
2023-05,3.85
2023-06,4.1
2023-07,4.1
2023-08,4.1
2023-09,4.1
2023-10,4.1
2023-11,4.35
2023-12,4.35
2024-01,4.35
2024-02,4.35
2024-03,4.35
2024-04,4.35
2024-05,4.35
2024-06,4.35
2024-07,4.35
2024-08,4.35
2024-09,4.35
2024-10,4.35
2024-11,4.35
2024-12,4.35
2025-01,4.35
2025-02,4.1
2025-03,4.1
2025-04,4.1
2025-05,3.85
2025-06,3.85
2025-07,3.85
2025-08,3.6
2025-09,3.6
2025-10,3.6
2025-11,3.6
2025-12,3.6
2026-01,3.6
2026-02,3.85
2026-03,4.1
2026-04,4.1
